id,title,content,tags
1,What is the right approach to write the spin controller for a soccer robot?,"Imagine programming a 3 wheel soccer robot. What type of controller would you use for spinning it? P? PID?
The goal for this controller is that it should make the robot stand in a defined angle ( 0 degree ) and turn back if rotated by hand or other robot. 
I use stepper motors for my robot and not servos so I need to implement this in my software!
I have written a sample P type controller already and the movement is fairly good. But I would like to make it better if possible. The code is as follows:

correction is a range , in which robot has no movement. 
degree is a number between -127 and 128 which is returned from the compass.
motorSpeed is a number between 0 and 255 which is applied to the PWM.
",soccer control
2,How can I modify a low cost hobby servo to run 'freely'?,"I've got some hobby servos (Power HD 1501MGs) and I'd like to be able to control them (via an Arduino) so they will either go to the angle I set, or put them in a 'free running' mode, where the load will take them wherever it goes.
Is this even possible, or am I just going to end up stripping the gears?
My first thought is to simply kill the power to the servo, but the force required to move them in that state is more than I'd like.
If it is possible, am I looking at a hardware change, or could I do it in software?
",control rcservo
3,"What useful gaits exist for a six legged robot, and what are their pros and cons?"," lists three gaits:

the tripod
wave, and
ripple.

Can these be improved, or can their relative pros and cons be altered, and are there other gaits worth considering?
",gait walk
4,Good Microcontrollers/SOCs for a Robotics Project,"I am looking for a starting point for my project, preferably using popular systems (ones there is a lot of support for). I have an Arduino Uno, a Raspberry Pi, and a lot of willpower :) Anyone here built a project using the systems above?
Observation: I'd like to start with a simple line-following vehicle and build up afterwards.
",microcontroller arduino raspberry-pi
5,Nearest-neighbor data structure for non-Euclidean configuration space,"I'm trying to implement a nearest-neighbor structure for use in an RRT motion planner. In order to do better than a linear brute-force nearest-neighbor search, I'd like to implement something like a kd-tree. However, it seems like the classical implementation of the kd-tree assumes that each dimension of the space can be split into ""left"" and ""right"". This notion doesn't seem to apply to non-Euclidean spaces like SO(2), for instance.
I'm working with a serial manipulator arm with fully rotational links, meaning that each dimension of the robot's configuration space is SO(2), and therefore non-Euclidean. Can the kd-tree algorithm be modified to handle these kinds of subspaces? If not, is there another nearest-neighbor structure that can handle these non-Euclidean subspaces while still being easy to update and query? I also took a look at FLANN, but it wasn't clear to me from their documentation whether they can handle non-Euclidean subspaces.
",motion-planning rrt
6,What good robotics software platforms / operating systems are available?,"My company will soon be starting a brand new robotics project, and we are still trying to decide whether we should design and code a robotics software platform from scratch, or if there are any good existing ones.
It would be very useful if there was a software platform which was commonly used among both academics and industry so that our robotic system was generally compatible with others, and so that people were already familiar with it.
We would like the software platform to be able to:

Integrate new robotic hardware components easily.
Already contain a wide array of useful data processing and visualisation tools
Make efficient use of computing hardware

",software platform
11,What software do you use to design your PCB in the robotics field?,"What is the best software (despite the price) for designing the circuits and PCB boards for robots?
I mean having lots of components, different designing methods, best accuracy, ...
I myself use the Altium Designer which I think answers my needs, but maybe there are better ones in the market i don't know about!
",software circuit
18,What are good methods for tuning the process noise on Kalman filters?,"Most often tuning the Kalman filter noise matrices is done by trial and error or domain knowledge. Are there more principled ways for tuning all the Kalman filter parameters?
",odometry localization kalman-filter
19,Keyboard control map for scalar based movement?,"I'm working with a Wild Thumper 6 wheel chasis that is designed for use with an RC controller. However I'd like to have a mapping to a keyboard for control as well. Can you suggest a set of keys and behaviors that you've used to deal with the continuous value control normally offered by a joystick or pair of joysticks? The standard wasd keys + an accelerate/decelerate pair? I'd also take a pointer to a videogame that you think does this well.
",untagged
20,Ideas for shooting the ball in a soccer robot,"What is the best option to use for the shooting system of a soccer robot?
I have already implemented a solenoid-based system for shooting and it works perfectly. 
However, I'd like some other methods to check if they are better than mine. 
",soccer mechanism
23,F/OSS Optical Object Avoidance,"I am beginning work on a larger scale, 250-350 lbs wheeled robot and looking to use both optical and other means of object avoidance. I am concerned with a robot this large causing issues with running into things, including people as it has a top speed of 15mph and that would cause issues with safety. I am starting out with a remote control but am looking to have the robot become self contained. I have been loosely following the DARPA driver-less car project but will not have anywhere near the fiscal or power budget that they do for sensors and computers. Am I thinking to far afield with my idea of having a self-contained robot in the 250-300 lbs range that does not break the bank on optical object avoidance? Any comments or experiences will be greatly appreciated.
",computer-vision wheeled-robot
25,How to choose the right propeller/motor combination for a quadcopter?,"There are many sites which explain briefly this problem and even propose combinations. I however would like a much more detailed explanation. What is going to give my quad the most agility? Do I need bigger motors/props in a heavy quad to achieve the same level of agility than in a lighter quad?
EDIT:
Here is what I have understood on the subject:

A quadcopter doesn't need high revving motors as there are 4 propellers providing thrust and high revving motors require more battery power.
Larger propellers give more thrust per revolution from the motor.

The question is focused more on the general characteristics of various combinations but some specific questions do spring to mind: 

For a given combination what would be the effect of upgrading propeller size in comparison to installing higher revving motors?
What changes would need to be made to lift a heavier quad?
How can I achieve more agility in my quad?

",quadcopter
26,Cheap web to buy robotic pieces from,"I love computer programming, and if I can interact with the world programming, it's even better. I used to steal them from school, and make little robots that bounce when collided with a wall, but I want to go further, but I don't have the needed pieces, and I don't know any good place to buy pieces , like servos, etc. either.
Also, I'm Spanish, so if the page can sell to places in Spain, even better.
I would highly appreciate your help,
Aritzh
",servos
37,Mobile robot localization in a known map,"I want to localize a mobile robot equipped with a 2D laser scanner in a known indoor environment.  The map is a 2D occupancy grid, but is not perfect.
What algorithms are appropriate for mobile robot localization?
",localization mobile-robot
39,I'd like to use gesture based input for my robot. What are the pros and cons between the Xtion Live and the Kinect?,"As in the title, I'd like to implement gesture recognition on my robot and I'm looking for the pros and cons between the Kinect and the Xtion - and also if there are any other sensible options available.
I'm thinking of the following, but open to other suggestions:

Accuracy
Price
Driver quality
Power draw

",kinect input
42,What tyre tread would be best suited to an off road robot expected to deal with frequently muddy conditions?,"I'm looking to potentially build an autonomous robot that will frequently venture off road, and remain autonomous for up to 6 hours at a time. I've found limited information however about the best tyre tread for this purpose, what could be most suitable?
I'm especially looking for a tread pattern that won't need regular cleaning, to save setting this up automatically (a tread that gets ""clogged"" very quickly clearly won't be that effective at tackling tough terrain autonomously.)
",wheel
43,What algorithm should I use for balancing a two wheeled robot using a gyroscope?,"Is there a good, popular and reliable algorithm I can use by taking input from a gyroscope and using this to control two independant wheels to keep such a balanced robot reliably upright? I'm looking for an algorithm that will let me use it to drive a robot around as well as keep it upright when stationary. The ability to deal with inclines and people nudging it would also be a bonus, but not essential.
",control gyroscope balance two-wheeled
44,Choosing the right dimensions for an underwater glider,"I'm looking to potentially build an underwater glider, a type of submarine that's slow but can operate on extremely low power draw. However, in order for it to work effectively I've found several sources hinting that the dimensions of the components, especially the wings, are critical to its success.
However, I've found very sparse information about what these dimensions should be! I'm happy to do a bit of trial and error if it comes down to it, but to save some work does anyone have any information on what the critical dimensions should be?
",design underwater auv
46,What's the most effective type of rechargeable battery when taking into account size / weight / Ah?,"I'm looking to build an underwater glider robot that will need to remain autonomous for long periods of time, perhaps even months. Power draw should be minimal, and I'm thinking of including some form of charging device (such as a solar charger) however I'd also like the battery capacity to be large enough so I don't hugely need to worry about this. Large current draw isn't really needed, but the battery does need to hold its charge effectively for long periods of time. Considering this is an underwater vehicle, weight and size are also a concern.
Cost isn't too much of an issue, as long as it's within reason of a hobbyist project.
I am looking to understand the pros and cons of each technology (Lead acid, LiPo, NiCad, fuel cell?), so I can decide what type of battery would be best suited to my purpose. As such, I'm looking at battery technology rather than looking for a specific shopping recommendation.
",underwater battery auv
48,How can I best protect sensitive components against damage through vibration?,"It's common for components on some types of robots to experience large environmental stresses, one key one being vibration. Is this something I need to worry about with typical electronics and other sensitive components, or not really? If it is, then how do I secure such components? 
I've heard of two main philosophies behind this, the first being that you should use a damping system such as with springs to absorb the shock. The second is that you should keep everything rigidly in place so it can't move, and therefore can't hit against anything else and break.
Which one should I follow, or if the answer is ""it depends"" what should I use as a guide as to best protect sensitive components?
",electronics protection
49,What's the most accurate way to obtain a locational fix using GPS?,"Obviously GPS is the most obvious and accessible technology for obtaining a locational ""fix"" for a robot at any particular time. However, while it's great sometimes, in other locations and situations it's not as accurate as I'd like, so I'm investigating whether there's a relatively easy way to improve on this accuracy (or not, if that turns out to be the case.)
I've considered the following options, but found limited information online:

Would using a much better antenna help, especially for low signal areas? I'm thinking yes to this, but if so how would I construct such an antenna and know that it's an improvement? Are there any good guides on how to do this? I could use a ready made antenna if they're not too expensive.
Would using multiple separate receivers in tandem help, or would they likely all be off by a similar amount, or would I not be able to extract a meaningful average with this approach?
What sort of characteristics should I look for when choosing a good GPS receiver to help accuracy?
Is there anything else I should consider which I've missed?

",localization gps
53,What algorithm can I use for constructing a map of an explored area using a number of ultrasound sensors?,"Ultrasound sensors are incredibly cheap these days which makes them a popular choice for many hobbyist robotic applications, and I'd like to use a bunch of them (say 10) around a robot with an algorithm to build a rough map of an area (as the robot explores it.) I'm not interested in dealing with moving objects at this stage, just pinpointing stationary ones, and I'll be using GPS for location. I realise that other components such as a laser scanner would produce much more accurate results, however such devices are also astronomically more expensive.
Does an algorithm exist for this purpose?
",slam localization gps mapping acoustic-rangefinder
55,Adding external heat sinking to a Dynamixel RX-24F servo?,"Hobby servos are generally not sufficient for real robotics for a number of reasons: Quality, precision, range of motion, torque, etc.
Meanwhile, industrial servos, such as ABB, Emerson, GE, etc, are generally both heavy and expensive, and not suitable for small-humanoid scale actuation. Similarly, building your own servo from motors, gearboxes, and encoders, is akin to trying to design your own CPU just to control a motor -- too much detail getting in the way of real work.
There exists an in-between level of servos -- reasonably priced, reasonable performance, and reasonably controllable -- in the form of the competing brands of Dynamixel and HerculeX servos.
The smallest offerings in those lines generally are not strong enough for real-world interaction, but the next step up hold a lot of promise. For the Robotis Dynamixel line, this is the RX-24F servo (priced between the cheap AX-12F and the next step up the MX-28R.) Asking around, it seems that the specs and interface on that servo is great, but that it shuts down from thermal overload if you actually try to run it at rated load -- something that I'd expect from a hobby servo, but not a robotics servo.
Now, stepping up to the MX-28R doubles the price. Thus, if the RX-24F heat flaw could be fixed, it would be positioned at a nice price/performance point.
Does anyone have experience in providing additional cooling for this servo? Anything from thermal-gluing heat sinks to the case, to drilling holes and running cooling fluid tubing to any hot parts on the interior would be reasonable approaches. However, before I spend significant time and effort investigating this, I'd like a second opinion -- is it possible, does anyone have experience doing this, is it worth it?
",servos heat-management cooling
57,How can I detect if a DC motor on a robot is starting to fail?,"What characteristics can I look for which could be reliable early warning signs that a DC motor on my robot, say one used for the drive, could be failing? I'm looking for an answer that deals in terms of sensors rather than manual inspection, so a circuit could be constructed to warn of a potential failure before it happens.
I have a few ideas such as an increase in current draw or decrease in rotation speed / voltage, but I want to guard against false warnings caused by reasonable wear and tear, or just the robot struggling on tough terrain.
Obviously such a system will never be foolproof, but are there any points I can look out for?
",sensors failure motor
